"zip","city","county","pop"
"17307","Biglerville","Adams","5854"
"19034","Fort Washington","Montgomery","5852"
"19362","Nottingham","Chester","5845"
"18074","Perkiomenville","Montgomery","5836"
"17569","Reinholds","Lancaster","5834"
"16651","Houtzdale","Clearfield","5834"
"17810","Allenwood","Union","5803"
"19127","Philadelphia","Philadelphia","5760"
"17043","Lemoyne","Cumberland","5720"
"19520","Elverson","Chester","5716"
"17322","Felton","York","5705"
"15320","Carmichaels","Greene","5682"
"18847","Susquehanna","Susquehanna","5677"
"17370","York Haven","York","5664"
"19066","Merion Station","Montgomery","5662"
"17090","Shermans Dale","Perry","5645"
"18655","Shickshinny","Luzerne","5625"
"19567","Womelsdorf","Berks","5616"
"17820","Catawissa","Columbia","5616"
"16102","New Castle","Lawrence","5581"
"18011","Alburtis","Lehigh","5580"
"17073","Newmanstown","Lebanon","5566"
"16662","Martinsburg","Blair","5561"
"15110","Duquesne","Allegheny","5543"
"17366","Windsor","York","5472"
"16673","Roaring Spring","Blair","5470"
"17066","Mount Union","Huntingdon","5387"
"18091","Wind Gap","Northampton","5385"
"16314","Cochranton","Crawford","5365"
"19330","Cochranville","Chester","5351"
"15222","Pittsburgh","Allegheny","5348"
"16833","Curwensville","Clearfield","5332"
"17233","Mc Connellsburg","Fulton","5311"
"18661","White Haven","Luzerne","5299"
"16229","Freeport","Armstrong","5269"
"18041","East Greenville","Montgomery","5252"
"19405","Bridgeport","Montgomery","5250"
"15530","Berlin","Somerset","5244"
"15135","Mc Keesport","Allegheny","5223"
"18414","Dalton","Lackawanna","5216"
"15909","Johnstown","Cambria","5201"
"16025","Chicora","Butler","5194"
"16316","Conneaut Lake","Crawford","5159"
"18507","Moosic","Lackawanna","5154"
"16433","Saegertown","Crawford","5148"
"19102","Philadelphia","Philadelphia","5147"
"15824","Brockway","Jefferson","5146"
"15342","Houston","Washington","5084"
"18424","Gouldsboro","Wayne","5046"
"19504","Barto","Berks","4996"
"18421","Forest City","Susquehanna","4981"
"18517","Taylor","Lackawanna","4980"
"15626","Delmont","Westmoreland","4975"
"17728","Cogan Station","Lycoming","4972"
"16239","Marienville","Forest","4952"
"17053","Marysville","Perry","4948"
"15330","Eighty Four","Washington","4945"
"17004","Belleville","Mifflin","4934"
"17841","Mc Clure","Snyder","4926"
"17814","Benton","Columbia","4899"
"16630","Cresson","Cambria","4869"
"17529","Gordonville","Lancaster","4866"
"18452","Peckville","Lackawanna","4853"
"19539","Mertztown","Berks","4848"
"19551","Robesonia","Berks","4844"
"17051","Mc Veytown","Mifflin","4831"
"19373","Thornton","Delaware","4823"
"17509","Christiana","Lancaster","4822"
"18610","Blakeslee","Monroe","4820"
"18419","Factoryville","Wyoming","4786"
"16056","Saxonburg","Butler","4785"
"17922","Auburn","Schuylkill","4772"
"15714","Northern Cambria","Cambria","4742"
"17724","Canton","Bradford","4740"
"15033","Donora","Washington","4721"
"18101","Allentown","Lehigh","4720"
"16947","Troy","Bradford","4699"
"16827","Boalsburg","Centre","4693"
"18334","Long Pond","Monroe","4691"
"17520","East Petersburg","Lancaster","4691"
"16159","West Middlesex","Mercer","4689"
"17948","Mahanoy City","Schuylkill","4677"
"17572","Ronks","Lancaster","4671"
"16121","Farrell","Mercer","4668"
"16424","Linesville","Crawford","4662"
"18519","Dickson City","Lackawanna","4659"
"18054","Green Lane","Montgomery","4653"
"17562","Paradise","Lancaster","4640"
"19031","Flourtown","Montgomery","4618"
"17752","Montgomery","Lycoming","4595"
"15323","Claysville","Washington","4583"
"16037","Harmony","Butler","4573"
"17560","New Providence","Lancaster","4560"
"17324","Gardners","Adams","4549"
"17084","Reedsville","Mifflin","4524"
"16053","Renfrew","Butler","4518"
"18255","Weatherly","Carbon","4509"
"17301","Abbottstown","Adams","4479"
"17516","Conestoga","Lancaster","4469"
"17062","Millerstown","Perry","4462"
"15419","California","Washington","4460"
"16023","Cabot","Butler","4460"
"17954","Minersville","Schuylkill","4460"
"16828","Centre Hall","Centre","4427"
"17501","Akron","Lancaster","4425"
"19547","Oley","Berks","4417"
"15045","Glassport","Allegheny","4371"
"19541","Mohrsville","Berks","4366"
"15681","Saltsburg","Indiana","4363"
"18426","Greentown","Pike","4304"
"18343","Mount Bethel","Northampton","4255"
"15059","Midland","Beaver","4239"
"17018","Dauphin","Dauphin","4239"
"16242","New Bethlehem","Clarion","4233"
"16693","Williamsburg","Blair","4228"
"17068","New Bloomfield","Perry","4223"
"17048","Lykens","Dauphin","4220"
"16423","Lake City","Erie","4204"
"16232","Knox","Clarion","4201"
"15834","Emporium","Cameron","4180"
"18853","Wyalusing","Bradford","4179"
"18977","Washington Crossing","Bucks","4172"
"17960","New Ringgold","Schuylkill","4114"
"17026","Fredericksburg","Lebanon","4105"
"15461","Masontown","Fayette","4100"
"17563","Peach Bottom","Lancaster","4094"
"16875","Spring Mills","Centre","4081"
"17372","York Springs","Adams","4075"
"18336","Matamoras","Pike","4075"
"16625","Claysburg","Blair","4060"
"19094","Woodlyn","Delaware","4060"
"15431","Dunbar","Fayette","4053"
"15144","Springdale","Allegheny","4036"
"16749","Smethport","Mckean","4031"
"19029","Essington","Delaware","4013"
"17240","Newburg","Cumberland","4001"
"18642","Duryea","Luzerne","3998"
"15233","Pittsburgh","Allegheny","3994"
"15940","Loretto","Cambria","3964"
"18326","Cresco","Monroe","3956"
"17846","Millville","Columbia","3912"
"17824","Elysburg","Northumberland","3889"
"18344","Mount Pocono","Monroe","3879"
"18240","Nesquehoning","Carbon","3862"
"18434","Jessup","Lackawanna","3859"
"15312","Avella","Washington","3849"
"17252","Saint Thomas","Franklin","3844"
